GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9XIL5	OTP51	involved_in	GO:0048564	photosystem I assembly	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47539:SF1	3702	TreeGrafter		P
UniProtKB	Q9ZNX9	SIGE	involved_in	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:14976253		3702	UniProt		P
UniProtKB	Q9ZR03	petC	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000304	TAS	PMID:12040099		3702	TAIR		P
UniProtKB	Q9ZVE7	CRR3	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000304	TAS	PMID:17041026		3702	TAIR		P
UniProtKB	Q9ZVE7	CRR3	involved_in	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR038931	3702	InterPro		P
UniProtKB	Q9ZVL6	At1g54780	acts_upstream_of_or_within	GO:0010206	photosystem II repair	ECO:0000315	IMP	PMID:17576201		3702	TAIR		P
UniProtKB	Q9ZVZ9	PSB27-2	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:20444695		3702	TAIR		P
UniProtKB	Q9ZVZ9	PSB27-2	involved_in	GO:0010206	photosystem II repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR025585	3702	InterPro		P
UniProtKB	Q9ZVZ9	PSB27-2	involved_in	GO:0010207	photosystem II assembly	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR025585	3702	InterPro		P
UniProtKB	Q9ZVZ9	PSB27-2	involved_in	GO:0010207	photosystem II assembly	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR34041:SF3	3702	TreeGrafter		P
